timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
1043301186,1043301186,8,255,0,0,20020,1519,1503,1098,1937,1519,1520,1939,1520,2050,6,0,0,0,32382,15919,14157,48,0,0,0,2
1043393431,1043393431,8,255,0,0,20021,1519,1502,1099,1576,1519,1520,1939,1520,0,0,49024,3936,16311,0,16416,61406,16310,16,0,0,2
1043508049,1043508049,8,255,0,0,19991,1520,1502,1099,1518,1520,1520,1939,1520,2050,6,0,0,0,42452,15922,14157,48,0,0,0,2
1043598860,1043598860,8,255,0,0,19988,1520,1502,1099,1518,1520,1519,1939,1520,2050,6,0,0,0,2295,15924,14157,48,0,0,0,2
1043708151,1043708151,8,255,0,0,20013,1519,1503,1098,1532,1519,1520,1939,1520,2050,6,0,0,0,46018,15925,14157,48,0,0,0,2
1043799059,1043799059,8,255,0,0,20027,1520,1502,1155,1519,1520,1520,1939,1520,2050,6,0,0,0,5949,15927,14157,48,0,0,0,2
1043916303,1043916303,8,255,0,0,20041,1520,1502,1273,1518,1520,1520,1939,1519,2050,6,0,0,0,56350,15928,14157,48,0,0,0,2
1044002649,1044002649,8,255,0,0,20018,1520,1502,1333,1518,1520,1520,1939,1519,2050,6,0,0,0,12990,15930,14157,48,0,0,0,2
1044111066,1044111066,8,255,0,0,20031,1520,1502,1363,1520,1519,1520,1939,1520,2050,6,0,0,0,55699,15931,14157,48,0,0,0,2
1044219299,1044219299,8,255,0,0,20016,1519,1502,1429,1522,1519,1520,1939,1520,2050,6,0,0,0,32977,15933,14157,48,0,0,0,2
1044314862,1044314862,8,255,0,0,20023,1519,1502,1483,1553,1519,1520,1939,1520,2050,6,0,0,0,62002,15934,14157,48,0,0,0,2
1044408668,1044408668,8,255,0,0,20001,1519,1502,1585,1519,1520,1520,1939,1519,2050,6,0,0,0,23770,15936,14157,48,0,0,0,2
1044517702,1044517702,8,255,0,0,20027,1519,1502,1621,1519,1519,1520,1939,1520,2050,6,0,0,0,2516,15938,14157,48,0,0,0,2
1044604639,1044604639,8,255,0,0,20010,1519,1503,1629,1519,1519,1520,1939,1520,2050,6,0,0,0,25025,15939,14157,48,0,0,0,2
1044717970,1044717970,8,255,0,0,20011,1520,1502,1654,1518,1519,1520,1939,1520,0,0,49024,28973,16311,0,16416,18476,16311,16,0,0,2
1044824558,1044824558,8,255,0,0,19982,1519,1502,1668,1518,1520,1520,1939,1519,2050,6,0,0,0,48469,15942,14157,48,0,0,0,2
1044916303,1044916303,8,255,0,0,19999,1520,1502,1676,1518,1519,1520,1939,1520,2050,6,0,0,0,9078,15944,14157,48,0,0,0,2
1045024607,1045024607,8,255,0,0,20012,1520,1502,1677,1518,1519,1520,1939,1520,2050,6,0,0,0,51791,15945,14157,48,0,0,0,2
1045132783,1045132783,8,255,0,0,20018,1520,1502,1685,1518,1520,1520,1939,1520,2050,6,0,0,0,28716,15947,14157,48,0,0,0,2
1045224430,1045224430,8,255,0,0,20009,1519,1503,1685,1518,1520,1520,1938,1520,2050,6,0,0,0,54877,15948,14157,48,0,0,0,2
1045330161,1045330161,8,255,0,0,19990,1519,1503,1695,1518,1520,1520,1939,1520,2050,6,0,0,0,29433,15950,14157,48,0,0,0,2
1045439326,1045439326,8,255,0,0,20008,1520,1502,1697,1518,1520,1520,1939,1520,2050,6,0,0,0,6467,15952,14157,48,0,0,0,2
1045525790,1045525790,8,255,0,0,20011,1520,1480,1697,1518,1520,1520,1939,1519,2050,6,0,0,0,28829,15953,14157,48,0,0,0,2
1045639078,1045639078,8,255,0,0,19995,1532,1450,1694,1517,1520,1519,1939,1520,2050,6,0,0,0,9674,15955,14157,48,0,0,0,2
1045725854,1045725854,8,255,0,0,20026,1556,1438,1672,1517,1520,1519,1939,1520,2050,6,0,0,0,32196,15956,14157,48,0,0,0,2
1045833924,1045833924,8,255,0,0,19984,1565,1426,1622,1517,1520,1520,1938,1520,2050,6,0,0,0,9266,15958,14157,48,0,0,0,2
1045945777,1045945777,8,255,0,0,19980,1561,1453,1639,1517,1520,1519,1939,1520,2050,6,0,0,0,55566,15959,14157,48,0,0,0,2
1046033791,1046033791,8,255,0,0,20019,1566,1472,1644,1520,1520,1519,1939,1520,2050,6,0,0,0,12501,15961,14157,48,0,0,0,2
1046142718,1046142718,8,255,0,0,19994,1542,1501,1691,1517,1520,1519,1939,1520,2050,6,0,0,0,55289,15962,14157,48,0,0,0,2
1046253963,1046253963,8,255,0,0,20028,1546,1489,1718,1517,1519,1520,1939,1520,2050,6,0,0,0,36042,15964,14157,48,0,0,0,2
1046343762,1046343762,8,255,0,0,20009,1565,1485,1699,1522,1520,1520,1939,1519,2050,6,0,0,0,60364,15965,14157,48,0,0,0,2
1046448063,1046448063,8,255,0,0,20020,1566,1483,1674,1520,1520,1519,1939,1520,2050,6,0,0,0,33369,15967,14157,48,0,0,0,2
1046541067,1046541067,8,255,0,0,20002,1561,1480,1612,1519,1519,1520,1939,1520,2050,6,0,0,0,59588,15968,14157,48,0,0,0,2
1046648146,1046648146,8,255,0,0,20004,1535,1478,1603,1533,1520,1520,1939,1519,2050,6,0,0,0,36935,15970,14157,48,0,0,0,2
1046761557,1046761557,8,255,0,0,20025,1541,1470,1649,1520,1519,1520,1939,1520,2050,6,0,0,0,17959,15972,14157,48,0,0,0,2
1046847967,1046847967,8,255,0,0,19998,1558,1464,1649,1522,1520,1520,1939,1519,2050,6,0,0,0,39958,15973,14157,48,0,0,0,2
1046960631,1046960631,8,255,0,0,20006,1570,1461,1635,1529,1520,1519,1939,1520,2050,6,0,0,0,21066,15975,14157,48,0,0,0,2
1047048171,1047048171,8,255,0,0,20027,1556,1454,1609,1538,1519,1520,1939,1520,2050,6,0,0,0,43781,15976,14157,48,0,0,0,2
1047164420,1047164420,8,255,0,0,19992,1532,1458,1608,1550,1520,1520,1939,1519,2050,6,0,0,0,28500,15978,14157,48,0,0,0,2
1047255380,1047255380,8,255,0,0,19995,1540,1454,1608,1550,1520,1520,1939,1519,2050,6,0,0,0,54425,15979,14157,48,0,0,0,2
1047365719,1047365719,8,255,0,0,20021,1544,1465,1611,1555,1520,1519,1939,1520,2050,6,0,0,0,33594,15981,14157,48,0,0,0,2
1047474128,1047474128,8,255,0,0,20003,1545,1464,1661,1527,1519,1520,1939,1520,2050,6,0,0,0,10805,15983,14157,48,0,0,0,2
1047562148,1047562148,8,255,0,0,19989,1570,1452,1661,1536,1519,1520,1939,1520,2050,6,0,0,0,32433,15984,14157,48,0,0,0,2
1047669407,1047669407,8,255,0,0,19989,1566,1452,1661,1543,1520,1520,1939,1519,2050,6,0,0,0,9656,15986,14157,48,0,0,0,2
1047777401,1047777401,8,255,0,0,20016,1546,1458,1642,1553,1520,1519,1939,1520,2050,6,0,0,0,52073,15987,14157,48,0,0,0,2
1047862864,1047862864,8,255,0,0,20013,1541,1464,1649,1538,1519,1520,1939,1520,2050,6,0,0,0,5131,15989,14157,48,0,0,0,2
1047976128,1047976128,8,255,0,0,19988,1521,1488,1586,1572,1520,1520,1939,1519,2050,6,0,0,0,53111,15990,14157,48,0,0,0,2
1048061006,1048061006,8,255,0,0,19987,1524,1487,1632,1552,1519,1520,1939,1520,2050,6,0,0,0,8139,15992,14157,48,0,0,0,2
1048169002,1048169002,8,255,0,0,19989,1546,1481,1637,1553,1519,1520,1939,1520,2050,6,0,0,0,50562,15993,14157,48,0,0,0,2
1048279270,1048279270,8,255,0,0,19995,1550,1480,1637,1552,1520,1520,1939,1520,2050,6,0,0,0,29672,15995,14157,48,0,0,0,2
1048371236,1048371236,8,255,0,0,20005,1546,1474,1637,1533,1520,1519,1939,1520,2050,6,0,0,0,55876,15996,14157,48,0,0,0,2
1048479262,1048479262,8,255,0,0,19973,1529,1460,1637,1535,1520,1519,1939,1520,2050,6,0,0,0,33047,15998,14157,48,0,0,0,2
1048591044,1048591044,8,255,0,0,20017,1520,1452,1637,1519,1520,1520,1939,1520,2050,6,0,0,0,13771,16000,14157,48,0,0,0,2
1048679392,1048679392,8,255,0,0,19992,1520,1452,1637,1518,1520,1520,1939,1519,2050,6,0,0,0,36276,16001,14157,48,0,0,0,2
1048784644,1048784644,8,255,0,0,20004,1512,1453,1636,1519,1519,1520,1939,1520,2050,6,0,0,0,9406,16003,14157,48,0,0,0,2
1048878751,1048878751,8,255,0,0,20006,1517,1452,1637,1518,1520,1520,1939,1520,2050,6,0,0,0,39419,16004,14157,48,0,0,0,2
1048990610,1048990610,8,255,0,0,19993,1520,1453,1620,1517,1519,1520,1939,1520,2050,6,0,0,0,20194,16006,14157,48,0,0,0,2
