timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.128369,0.0168521
0,0.147097,0.0161272
0,0.134279,0.00576313
0,0.127891,0.00602688
0,0.120351,0.00714851
0,0.121574,0.00737025
0,0.120545,0.00701004
0,0.115444,0.00622971
0,0.135851,0.00523607
0,0.146181,0.00404551
0,0.141489,0.00453137
0,0.129035,0.00543279
0,0.111767,0.00650901
0,0.111327,0.00557963
0,0.105078,0.00412268
0,0.10014,0.00520364
0,0.102987,0.00692126
0,0.108653,0.00732696
0,0.118508,0.00835483
0,0.125442,0.00804447
0,0.13095,0.00768466
