timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
2488568300,52.7328,55.8031,55.8816,48.85,1.0
2488580250,52.7378,55.8083,55.8553,48.85,1.0
2488592177,52.7222,55.7918,55.6439,48.85,1.0
2488604225,52.7158,55.785,55.7233,48.85,1.0
2488616448,52.6949,55.7641,55.5655,48.85,1.0
2488628267,52.7062,55.7764,55.8832,48.84,1.0
2488640445,52.7212,55.7927,55.9361,48.84,1.0
2488652204,52.7149,55.7862,55.7254,48.84,1.0
2488664695,52.6966,55.767,55.593,48.84,1.0
2488676205,52.6752,55.7426,55.5384,48.84,1.0
2488688247,52.6635,55.731,55.6188,48.84,1.0
2488700212,52.6803,55.751,55.9115,48.84,1.0
2488712341,52.678,55.7486,55.7269,48.85,1.0
2488725039,52.681,55.752,55.7799,48.85,1.0
2488736385,52.6761,55.7485,55.7022,48.85,1.0
2488748208,52.6742,55.7466,55.7287,48.85,1.0
2488760157,52.6626,55.7311,55.6198,48.85,1.0
2488772242,52.6595,55.7282,55.6995,48.85,1.0
2488784699,52.6668,55.7365,55.8057,48.85,1.0
2488796225,52.6659,55.7355,55.7266,48.85,1.0
2488808203,52.66,55.7276,55.672,48.85,1.0
2488820203,52.6772,55.7465,55.9101,48.85,1.0
2488832338,52.6603,55.729,55.5671,48.85,1.0
2488844977,52.67,55.7411,55.8332,48.86,1.0
2488856302,52.6387,55.7072,55.4086,48.86,1.0
2488868332,52.6456,55.7138,55.7791,48.86,1.0
2488880205,52.6343,55.7019,55.5939,48.86,1.0
2488892258,52.6041,55.6705,55.3821,48.86,1.0
2488904792,52.6219,55.6896,55.8592,48.86,1.0
2488916228,52.628,55.6968,55.7544,48.86,1.0
2488928338,52.6509,55.7211,55.939,48.86,1.0
2488940385,52.6765,55.7494,55.9928,48.86,1.0
2488952309,52.6746,55.747,55.7288,48.86,1.0
2488964810,52.6779,55.7505,55.7816,48.86,1.0
2488976161,52.6758,55.748,55.7285,48.86,1.0
2488988292,52.6965,55.7701,55.9662,48.86,1.0
2489000314,52.7225,55.7976,56.045,48.86,1.0
2489012264,52.7135,55.7881,55.7023,48.86,1.0
2489024968,52.7204,55.7935,55.8589,48.87,1.0
2489036306,52.7191,55.7935,55.7811,48.87,1.0
2489048642,52.7403,55.8155,56.0177,48.87,1.0
2489060403,52.7545,55.8321,55.9668,48.86,1.0
2489072369,52.7448,55.8221,55.7295,48.86,1.0
2489084926,52.7236,55.7999,55.5975,48.86,1.0
2489096146,52.7244,55.8009,55.8091,48.86,1.0
2489108411,52.7177,55.7929,55.7291,48.86,1.0
2489120231,52.7267,55.8021,55.8872,48.86,1.0
2489132386,52.7197,55.7948,55.7288,48.86,1.0
2489145045,52.716,55.7903,55.7547,48.87,1.0
2489156695,52.6952,55.7694,55.5705,48.87,1.0
2489168665,52.7064,55.7831,55.8897,48.87,1.0
2489180223,52.7115,55.7885,55.8369,48.87,1.0
2489192284,52.7085,55.784,55.7564,48.87,1.0
2489205032,52.7059,55.7805,55.7555,48.87,1.0
2489216226,52.7011,55.7747,55.7286,48.87,1.0
2489228443,52.7042,55.778,55.8077,48.87,1.0
2489240306,52.7145,55.7884,55.8864,48.87,1.0
2489252362,52.7138,55.7868,55.78,48.87,1.0
2489264995,52.7231,55.7968,55.8855,48.87,1.0
2489276327,52.6966,55.7691,55.5159,48.87,1.0
2489288898,52.7201,55.7952,56.0188,48.87,1.0
2489300169,52.7088,55.7814,55.674,48.87,1.0
2489312334,52.7112,55.7838,55.8061,48.87,1.0
2489325464,52.7058,55.7801,55.7287,48.87,1.0
2489336408,52.6785,55.752,55.4911,48.87,1.0
2489348576,52.6864,55.7595,55.8345,48.87,1.0
2489360366,52.7134,55.7856,56.0426,48.87,1.0
2489372309,52.6978,55.7692,55.6204,48.87,1.0
2489385850,52.7038,55.7766,55.833,48.87,1.0
2489396242,52.6892,55.7611,55.6215,48.87,1.0
2489408396,52.7084,55.7809,55.9643,48.87,1.0
2489421839,52.7083,55.7791,55.7781,48.87,1.0
2489435303,52.6957,55.7674,55.6475,48.87,1.0
2489445776,52.7069,55.7792,55.8853,48.87,1.0
2489458052,52.7069,55.7768,55.7772,48.87,1.0
2489469866,52.7194,55.7909,55.9099,48.87,1.0
2489481843,52.6933,55.7635,55.5135,48.87,1.0
2489495340,52.6747,55.743,55.5658,48.87,1.0
2489505960,52.6954,55.7658,55.9629,48.87,1.0
2489517863,52.7016,55.7723,55.8312,48.87,1.0
2489529839,52.7246,55.7966,56.0155,48.87,1.0
2489541839,52.7179,55.7904,55.7264,48.87,1.0
2489555287,52.7044,55.7761,55.647,48.87,1.0
2489565905,52.6972,55.7684,55.6998,48.87,1.0
2489577936,52.7032,55.7751,55.8322,48.88,1.0
2489589955,52.7211,55.7932,55.9633,48.88,1.0
2489601898,52.7047,55.7768,55.6207,48.88,1.0
2489613853,52.685,55.7559,55.5678,48.88,1.0
2489625886,52.6723,55.7404,55.6188,48.87,1.0
2489637981,52.6758,55.743,55.7764,48.87,1.0
2489649801,52.7064,55.7762,56.067,48.87,1.0
2489661862,52.7065,55.7763,55.7772,48.87,1.0
2489673832,52.7091,55.7793,55.8039,48.87,1.0
2489685842,52.7014,55.7718,55.6987,48.87,1.0
2489697786,52.6795,55.7483,55.5396,48.87,1.0
2489710001,52.6973,55.7666,55.9354,48.87,1.0
2489721919,52.7083,55.7796,55.8842,48.87,1.0
2489733866,52.6957,55.7647,55.6448,48.87,1.0
2489746059,52.7043,55.7738,55.8562,48.87,1.0
2489757762,52.6971,55.7662,55.6976,48.87,1.0
2489769997,52.7106,55.7818,55.9102,48.87,1.0
2489781808,52.7128,55.7833,55.8039,48.87,1.0
2489793844,52.6948,55.7642,55.5923,48.87,1.0
2489806523,52.7035,55.7743,55.8575,48.86,1.0
2489817760,52.7089,55.7816,55.8327,48.86,1.0
2489830234,52.7287,55.8029,55.9911,48.86,1.0
2489841878,52.7365,55.8112,55.8858,48.86,1.0
2489853934,52.7186,55.7926,55.6218,48.87,1.0
2489866433,52.7225,55.7961,55.8329,48.87,1.0
2489877835,52.721,55.7945,55.78,48.87,1.0
2489890042,52.7446,55.8174,56.0414,48.86,1.0
2489901889,52.7782,55.8526,56.1723,48.86,1.0
2489913899,52.7637,55.839,55.7001,48.86,1.0
2489926772,52.7755,55.8516,55.964,48.86,1.0
2489938052,52.7737,55.8494,55.832,48.86,1.0
2489949867,52.777,55.8534,55.8852,48.86,1.0
2489961894,52.7875,55.8642,55.964,48.86,1.0
2489973876,52.7894,55.8663,55.8849,48.86,1.0
2489986290,52.7538,55.8286,55.4881,48.87,1.0
2489997851,52.7417,55.815,55.6993,48.87,1.0
2490009930,52.7582,55.8339,55.9909,48.87,1.0
2490021896,52.7855,55.8622,56.1217,48.87,1.0
2490033968,52.7951,55.8726,55.9643,48.87,1.0
2490046651,52.7889,55.8673,55.8075,48.87,1.0
2490057811,52.7932,55.8719,55.913,48.87,1.0
2490070045,52.7622,55.8393,55.5432,48.87,1.0
2490081890,52.8015,55.881,56.2547,48.87,1.0
2490093883,52.7896,55.8677,55.7542,48.87,1.0
2490106662,52.7988,55.8774,55.9651,48.87,1.0
2490117874,52.7897,55.8671,55.78,48.87,1.0
2490129964,52.774,55.85,55.7001,48.87,1.0
2490141884,52.7673,55.8437,55.7803,48.87,1.0
2490153880,52.7489,55.8261,55.65,48.86,1.0
2490166671,52.7422,55.8163,55.753,48.86,1.0
2490177877,52.7487,55.8229,55.8847,48.86,1.0
2490190094,52.762,55.837,55.9637,48.86,1.0
2490201941,52.7565,55.8307,55.7786,48.87,1.0
2490213833,52.779,55.8548,56.0687,48.87,1.0
2490227083,52.7494,55.8232,55.5404,48.87,1.0
2490237870,52.7552,55.8293,55.8842,48.87,1.0
2490249905,52.7554,55.8287,55.8305,48.87,1.0
2490261964,52.778,55.8535,56.0684,48.87,1.0
2490273803,52.8058,55.8815,56.1458,48.87,1.0
2490286842,52.786,55.8605,55.6715,48.87,1.0
2490297847,52.7806,55.8556,55.8044,48.87,1.0
2490309908,52.8007,55.8781,56.069,48.87,1.0
2490321816,52.8088,55.8872,55.9643,48.87,1.0
2490334035,52.8311,55.9107,56.122,48.87,1.0
2490347197,52.8212,55.8999,55.8058,48.87,1.0
2490357944,52.8023,55.8803,55.7004,48.87,1.0
