timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature
2488568300,0,1708.01,1703.21,-1000.0
2488628267,0,1708.01,1701.49,-1000.0
2488676205,0,1687.06,1699.49,-1000.0
2488725039,0,1701.56,1699.86,-1000.0
2488784699,0,1703.17,1698.95,-1000.0
2488832338,0,1688.67,1698.53,-1000.0
2488880205,0,1690.28,1696.85,-1000.0
2488940385,0,1714.45,1699.58,-1000.0
2488988292,0,1712.84,1700.86,-1000.0
2489036306,0,1701.56,1702.32,-1000.0
2489096146,0,1703.17,1702.67,-1000.0
2489145045,0,1699.95,1702.12,-1000.0
2489192284,0,1699.95,1701.64,-1000.0
2489252362,0,1701.56,1701.98,-1000.0
2489300169,0,1695.12,1701.66,-1000.0
2489348576,0,1704.79,1700.21,-1000.0
2489408396,0,1712.84,1701.64,-1000.0
2489458052,0,1701.56,1701.54,-1000.0
2489505960,0,1712.84,1700.8,-1000.0
2489565905,0,1696.73,1700.91,-1000.0
2489613853,0,1688.67,1700.12,-1000.0
2489661862,0,1701.56,1701.51,-1000.0
2489721919,0,1708.01,1701.62,-1000.0
2489769997,0,1709.62,1701.78,-1000.0
2489830234,0,1714.45,1702.94,-1000.0
2489877835,0,1701.56,1702.45,-1000.0
2489926772,0,1712.84,1705.97,-1000.0
2489986290,0,1683.84,1704.57,-1000.0
2490033968,0,1712.84,1707.24,-1000.0
2490081890,0,1730.57,1707.65,-1000.0
2490141884,0,1701.56,1705.44,-1000.0
2490190094,0,1712.84,1705.1,-1000.0
2490249905,0,1704.79,1704.67,-1000.0
2490297847,0,1703.17,1706.3,-1000.0
2490347197,0,1703.17,1708.92,-1000.0
2490407249,0,1709.62,1709.07,-1000.0
2490453796,0,1714.45,1709.44,-1000.0
2490501945,0,1720.9,1710.65,-1000.0
2490563393,0,1717.68,1709.54,-1000.0
2490611552,0,1695.12,1709.31,-1000.0
2490659729,0,1708.01,1711.63,-1000.0
2490708017,0,1719.29,1712.37,-1000.0
2490767941,0,1727.34,1713.72,-1000.0
2490815502,0,1696.73,1711.27,-1000.0
2490875774,0,1709.62,1711.62,-1000.0
2490923448,0,1712.84,1712.89,-1000.0
2490971640,0,1699.95,1711.04,-1000.0
2491031460,0,1690.28,1705.17,-1000.0
2491079570,0,1712.84,1703.21,-1000.0
2491128278,0,1704.79,1704.15,-1000.0
2491188357,0,1708.01,1704.45,-1000.0
2491235646,0,1679.0,1702.08,-1000.0
2491283332,0,1696.73,1700.23,-1000.0
2491343532,0,1682.23,1695.75,-1000.0
2491391376,0,1708.01,1694.98,-1000.0
2491439617,0,1685.45,1694.35,-1000.0
2491499440,0,1699.95,1694.43,-1000.0
2491555435,0,1690.28,1695.38,-1000.0
2491605136,0,1693.51,1696.82,-1000.0
2491653017,0,1693.51,1696.93,-1000.0
2491701366,0,1728.96,1701.7,-1000.0
2491761365,0,1711.23,1703.48,-1000.0
2491809541,0,1708.01,1703.96,-1000.0
2491856953,0,1714.45,1708.98,-1000.0
2491917084,0,1708.01,1711.41,-1000.0
2491965380,0,1720.9,1715.07,-1000.0
2492013036,0,1732.18,1717.81,-1000.0
2492073129,0,1732.18,1717.98,-1000.0
2492121177,0,1735.4,1722.08,-1000.0
2492170005,0,1727.34,1721.54,-1000.0
2492229755,0,1737.01,1726.52,-1000.0
2492277146,0,1708.01,1728.13,-1000.0
2492324999,0,1753.12,1734.53,-1000.0
2492385352,0,1759.57,1737.27,-1000.0
2492433134,0,1749.9,1740.03,-1000.0
2492481180,0,1749.9,1742.17,-1000.0
2492541186,0,1754.74,1745.63,-1000.0
2492590804,0,1740.23,1747.55,-1000.0
2492637180,0,1759.57,1751.81,-1000.0
2492697042,0,1766.02,1753.19,-1000.0
2492746704,0,1761.18,1753.43,-1000.0
2492794736,0,1761.18,1756.24,-1000.0
2492854676,0,1762.79,1759.29,-1000.0
2492902631,0,1753.12,1759.71,-1000.0
2492951390,0,1757.96,1759.77,-1000.0
2493010828,0,1764.4,1763.37,-1000.0
2493058630,0,1777.29,1766.68,-1000.0
2493107112,0,1783.74,1767.64,-1000.0
2493166800,0,1780.52,1767.05,-1000.0
2493214542,0,1766.02,1767.56,-1000.0
2493262571,0,1772.46,1768.39,-1000.0
2493323122,0,1778.91,1773.93,-1000.0
2493371977,0,1778.91,1775.52,-1000.0
2493418677,0,1786.96,1777.46,-1000.0
2493478650,0,1775.68,1777.64,-1000.0
2493526755,0,1780.52,1776.28,-1000.0
2493574737,0,1774.07,1777.4,-1000.0
2493627097,0,1786.96,1774.93,-1000.0
2493686685,0,1782.13,1778.25,-1000.0
2493734773,0,1793.41,1780.83,-1000.0
2493786689,0,1782.13,1778.81,-1000.0
2493836363,0,1782.13,1779.35,-1000.0
2493896265,0,1777.29,1778.67,-1000.0
2493944218,0,1782.13,1780.66,-1000.0
2494004272,0,1764.4,1780.44,-1000.0
2494052916,0,1798.24,1782.63,-1000.0
2494100350,0,1777.29,1780.53,-1000.0
2494160349,0,1772.46,1780.83,-1000.0
2494208290,0,1783.74,1780.32,-1000.0
2494256183,0,1777.29,1781.81,-1000.0
2494316293,0,1798.24,1785.83,-1000.0
2494364277,0,1791.8,1784.15,-1000.0
2494413694,0,1766.02,1780.72,-1000.0
2494473813,0,1782.13,1782.6,-1000.0
2494520223,0,1775.68,1783.88,-1000.0
2494568812,0,1788.57,1785.94,-1000.0
2494628463,0,1788.57,1785.96,-1000.0
2494676128,0,1796.63,1787.02,-1000.0
2494736182,0,1793.41,1786.76,-1000.0
2494784184,0,1790.19,1786.65,-1000.0
2494832298,0,1770.85,1786.72,-1000.0
2494892247,0,1783.74,1788.79,-1000.0
2494941910,0,1786.96,1789.66,-1000.0
2494989806,0,1803.08,1790.88,-1000.0
2495049930,0,1801.46,1789.55,-1000.0
2495097796,0,1791.8,1789.16,-1000.0
