timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.0983701,0.00699339
0,0.0984234,0.00625811
0,0.0898357,0.00594179
0,0.108817,0.0083897
0,0.112051,0.00892949
0,0.117817,0.00632588
0,0.11393,0.00934462
0,0.151913,0.00984295
0,0.106702,0.0106402
0,0.0866285,0.0106506
0,0.104711,0.0115888
0,0.106861,0.0125514
0,0.110566,0.0124545
0,0.113628,0.0123632
0,0.11746,0.0137705
0,0.117869,0.0126991
0,0.117256,0.0121311
0,0.11255,0.0128096
0,0.106361,0.0126776
0,0.0880682,0.0122873
0,0.0845108,0.00965523
