timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
2488575815,0.00514594,0.00464348,-0.0516196,-0.998051,-0.0219638,0.0356969,0.0462341
2488607815,0.0140967,-0.0202586,-0.0252264,-0.997997,-0.0220696,0.0360471,0.0470778
2488635814,0.0462251,-0.0178834,0.0680191,-0.998014,-0.0222697,0.0363535,0.0463837
2488667816,0.00520735,-0.00830769,-0.0140268,-0.998022,-0.0227673,0.0364916,0.045857
2488699849,0.0547508,-0.0150093,0.0325147,-0.998019,-0.0228105,0.0367298,0.0457023
2488731814,0.0436433,-0.0111906,-0.0199671,-0.998001,-0.023761,0.0370522,0.0453435
2488763849,0.0573685,-0.0197139,0.0240256,-0.997993,-0.0242389,0.0372958,0.045077
2488795823,0.0578072,-0.0198297,0.00686384,-0.997978,-0.0250707,0.0376948,0.0446126
2488827817,0.0594779,-0.0216096,-0.0010985,-0.997944,-0.0259743,0.0380886,0.0445303
2488859840,0.0443564,-0.0254662,0.0282119,-0.997927,-0.0266552,0.0385425,0.0441036
2488887846,0.0698562,-0.0239762,-0.00520997,-0.997901,-0.0275301,0.0389541,0.0437906
2488923815,0.0349377,-0.0235193,0.0109163,-0.997869,-0.0282117,0.0394203,0.0436864
2488955852,0.0442051,-0.0268352,0.0152621,-0.997855,-0.0288438,0.0398808,0.043166
2488987860,0.0331522,-0.0230081,-0.0111491,-0.997824,-0.0294302,0.0402892,0.0431008
2489019863,0.0208965,-0.0212583,0.0285282,-0.997816,-0.0296412,0.0406883,0.0427648
2489051834,0.0215396,-0.0188966,-0.0038625,-0.997809,-0.0299112,0.0410755,0.0423703
2489083835,-0.00558013,-0.0162023,0.00279956,-0.997798,-0.0299138,0.0413559,0.0423516
2489111839,-0.00942868,-0.0161407,0.0258591,-0.997814,-0.0296693,0.0415695,0.0419325
2489143851,-0.00995153,-0.0127378,-0.012433,-0.997816,-0.0295611,0.0418192,0.041723
2489175835,-0.0267674,-0.0103174,0.0145963,-0.997829,-0.0290018,0.0419729,0.041646
