timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
556395291,556391141,0.00237567,0.00323615,-0.0234824,0.0,0.0,0.0,0.0,-1.0
556499337,556495145,0.00369609,0.00709713,-0.0414694,0.0,0.0,0.0,0.0,-1.0
556599355,556595186,0.00493552,-0.00019013,0.0105048,0.0,0.0,0.0,0.0,-1.0
556704107,556699949,0.00216317,0.00618202,0.00216267,0.0,0.0,0.0,0.0,-1.0
556804102,556799976,0.00503709,-0.00490972,-0.0226766,0.0,0.0,0.0,0.0,-1.0
556908957,556903953,0.00491319,0.00433232,-0.0553631,0.0,0.0,0.0,0.0,-1.0
557009185,557004784,0.00687977,0.000537552,0.0149672,0.0,0.0,0.0,0.0,-1.0
557109902,557104751,0.000832331,0.00962125,0.00288371,0.0,0.0,0.0,0.0,-1.0
557209763,557204743,0.00400918,-0.0025129,-0.0390896,0.0,0.0,0.0,0.0,-1.0
557309980,557305541,0.0109228,0.0130281,0.0169373,0.0,0.0,0.0,0.0,-1.0
557413765,557409579,0.0123817,0.00583874,0.019886,0.0,0.0,0.0,0.0,-1.0
557513827,557509554,0.00194374,0.0114701,0.0326242,0.0,0.0,0.0,0.0,-1.0
557614520,557610368,0.00364303,0.00673577,0.0388014,0.0,0.0,0.0,0.0,-1.0
557718542,557714344,0.000229085,0.00773437,0.032127,0.0,0.0,0.0,0.0,-1.0
557818571,557814365,0.00422365,0.00938092,0.00802725,0.0,0.0,0.0,0.0,-1.0
557920384,557915171,0.00261562,-0.00521359,0.000147911,0.0,0.0,0.0,0.0,-1.0
558023341,558019168,-0.00344538,-0.00669323,-0.0404368,0.0,0.0,0.0,0.0,-1.0
558123332,558119152,0.00836893,-0.00443963,0.0269854,0.0,0.0,0.0,0.0,-1.0
558224143,558219942,0.00120027,0.00360301,-0.0126699,0.0,0.0,0.0,0.0,-1.0
558328129,558323951,0.00455035,0.0120239,0.00456768,0.0,0.0,0.0,0.0,-1.0
558428105,558423942,0.00231656,0.000502738,-0.0290626,0.0,0.0,0.0,0.0,-1.0
558532930,558528751,0.00067836,-0.0019418,-0.0170003,0.0,0.0,0.0,0.0,-1.0
558633013,558628750,0.00894589,0.00185899,0.0337568,0.0,0.0,0.0,0.0,-1.0
