timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
556399171,-0.000920639,7.93089e-05,0.0100384,0.004026,0,-0.0524237,0.189504,-9.75492,0.004026,-8,-0.513578,0.0172727,-0.263397,-10601,48.3082,49.28
556403177,0.00967051,-0.00807862,0.0139429,0.004006,0,-0.190969,0.0869051,-9.86068,0.004006,-4014,-0.513578,0.0172727,-0.263397,-14607,48.3082,49.28
556407144,0.00481863,0.000181572,0.0089809,0.003967,0,-0.118347,0.0306484,-9.92573,0.003967,-7981,-0.513578,0.0172727,-0.263397,-18574,48.3082,49.28
556411142,0.00484647,0.00171852,0.00909045,0.003998,0,-0.0366055,-0.0172681,-9.94536,0.003998,-2402,-0.489444,0.00959834,-0.2695,-22572,48.3082,49.28
556415146,0.00901556,0.0145668,0.00480822,0.004004,0,0.00742507,0.225693,-9.64024,0.004004,-6406,-0.489444,0.00959834,-0.2695,-26576,48.3082,49.28
556419175,0.00420104,-0.0100973,0.0119868,0.004029,0,0.101901,-0.059019,-9.57713,0.004029,-8,-0.483919,0.0178396,-0.274537,-30605,48.3082,49.28
556423180,0.0182202,-0.00228263,0.00525803,0.004005,0,-0.132336,-0.06191,-10.0834,0.004005,-4013,-0.483919,0.0178396,-0.274537,-34610,48.3082,49.28
556427156,0.00069782,-0.00488253,0.00497767,0.003976,0,-0.0590793,-0.00135001,-9.74635,0.003976,-7989,-0.483919,0.0178396,-0.274537,-38586,48.3082,49.28
556431141,0.0177949,0.0121492,0.000403293,0.003985,0,0.0757344,-0.0445788,-10.0233,0.003985,-2401,-0.485669,0.0189588,-0.265453,-521,47.6389,49.28
556435145,-0.00379898,0.0101312,-0.00212068,0.004004,0,0.0125371,0.184124,-9.05858,0.004004,-6405,-0.485669,0.0189588,-0.265453,-4525,47.6389,49.28
556439170,0.0070347,-0.0315936,0.00398879,0.004025,0,0.0431924,-0.12095,-9.86645,0.004025,-8,-0.493024,0.0249471,-0.257845,-8550,47.6389,49.28
556443176,-0.000941386,0.0056262,-0.00261311,0.004006,0,-0.232216,-0.083922,-10.281,0.004006,-4014,-0.493024,0.0249471,-0.257845,-1668,48.3924,49.28
556447178,0.00145802,-0.0116949,-0.00455827,0.004002,0,-0.0162066,-0.0101105,-9.35814,0.004002,-8016,-0.493024,0.0249471,-0.257845,-5670,48.3924,49.28
556451141,-0.000936346,0.0101903,-0.00481533,0.003963,0,0.0806612,-0.00721753,-10.391,0.003963,-2396,-0.474504,0.00940938,-0.266093,-9633,48.3924,49.28
556455145,6.20741e-05,-0.00163979,-0.00708941,0.004004,0,-0.0612468,0.132598,-8.76606,0.004004,-6400,-0.474504,0.00940938,-0.266093,-2978,48.6425,49.28
556459170,0.00399987,-0.0299323,0.00239735,0.004025,0,-0.0289016,-0.116671,-10.6186,0.004025,-8,-0.49694,0.00342105,-0.273334,-7003,48.6425,49.28
556463162,0.00465968,0.0232469,-0.00440529,0.003992,0,-0.332722,0.0283488,-9.68981,0.003992,-4000,-0.49694,0.00342105,-0.273334,-10995,48.6425,49.28
556467143,-0.000217377,-0.0363965,-0.00062786,0.003981,0,0.167124,0.00455606,-9.78088,0.003981,-7981,-0.49694,0.00342105,-0.273334,-14976,48.6425,49.28
556471141,-0.00215206,0.0440132,0.00114987,0.003998,0,-0.179656,0.226079,-10.478,0.003998,-2345,-0.517538,-0.00406436,-0.282477,-18974,48.6425,49.28
556475152,0.00056055,-0.0292401,0.000743731,0.004011,0,-0.057885,0.177798,-8.35077,0.004011,-6356,-0.517538,-0.00406436,-0.282477,-1356,48.3924,49.28
556479147,0.00145736,0.00761267,0.0160566,0.003995,0,-0.027294,-0.104528,-11.1959,0.003995,-8,-0.502555,-0.00762543,-0.275647,-5351,48.3924,49.28
556483141,-0.0018638,-0.00365521,-0.00341265,0.003994,0,-0.257198,0.122158,-8.94708,0.003994,-4002,-0.502555,-0.00762543,-0.275647,-9345,48.3924,49.28
556487201,-5.52503e-05,0.000793856,0.0111229,0.00406,0,0.155492,0.0129724,-10.3022,0.00406,-8062,-0.502555,-0.00762543,-0.275647,-2259,48.7261,49.28
556491141,-0.00977755,0.0266485,0.00292264,0.00394,0,0.000456818,0.234058,-9.18302,0.00394,-2390,-0.498855,0.0243948,-0.277609,-6199,48.7261,49.28
556495145,0.00587376,-0.050828,0.0154603,0.004004,0,0.164596,-0.115843,-9.68603,0.004004,-6394,-0.498855,0.0243948,-0.277609,-557,48.6425,49.28
556499158,-0.00663501,0.03069,0.0120075,0.004013,0,-0.282356,-0.0262027,-10.6555,0.004013,-8,-0.506166,0.0301942,-0.26641,-4570,48.6425,49.28
556503141,0.0079452,-0.0259098,0.00456599,0.003983,0,0.139983,0.0174053,-9.09669,0.003983,-3991,-0.506166,0.0301942,-0.26641,-8553,48.6425,49.28
556507147,-0.0109255,0.0334836,0.010209,0.004006,0,0.0650584,0.0980951,-10.4006,0.004006,1595,-0.49679,0.0283192,-0.261222,-12559,48.6425,49.28
556511143,0.00770536,-0.0311346,-0.00185886,0.003996,0,-0.0758399,0.109477,-8.64791,0.003996,-2401,-0.49679,0.0283192,-0.261222,-16555,48.6425,49.28
556515190,-0.00147599,-0.00486995,0.0130478,0.004047,0,-0.0723451,-0.134767,-10.9107,0.004047,-6448,-0.49679,0.0283192,-0.261222,-20602,48.6425,49.28
556519147,0.0094778,0.0072421,-0.00483747,0.003957,0,-0.228576,0.0620896,-9.13397,0.003957,-8,-0.478401,0.0165315,-0.280076,-2937,48.7261,49.29
556523141,-0.00730775,-0.0225981,0.000780808,0.003994,0,0.216211,0.110898,-10.0728,0.003994,-4002,-0.478401,0.0165315,-0.280076,-6931,48.7261,49.29
556527147,-0.00104131,0.0251555,-0.00513226,0.004006,0,-0.17272,0.190449,-9.48612,0.004006,-8008,-0.478401,0.0165315,-0.280076,-646,47.6389,49.29
556531142,0.000178425,-0.0509652,-0.00257123,0.003995,0,0.131328,0.0584752,-9.4084,0.003995,-2402,-0.491316,0.0272,-0.270352,-4641,47.6389,49.29
556535141,-0.00181324,0.0259213,0.00767193,0.003999,0,-0.222634,-0.0246351,-10.9127,0.003999,-6401,-0.491316,0.0272,-0.270352,-8640,47.6389,49.29
556539147,0.0161908,-0.0237116,-0.0122429,0.004006,0,-0.0883033,0.153674,-8.93869,0.004006,-8,-0.472749,0.0146565,-0.274842,-1161,47.8067,49.29
556543141,-0.00676792,0.0198032,0.00277657,0.003994,0,0.0267211,0.0899246,-10.6149,0.003994,-4002,-0.472749,0.0146565,-0.274842,-5155,47.8067,49.29
556547162,0.0158476,-0.0183802,-0.0126161,0.004021,0,-0.136699,0.160576,-9.16907,0.004021,-8023,-0.472749,0.0146565,-0.274842,-9176,47.8067,49.29
556551141,-0.0044716,-0.0094995,0.00937348,0.003979,0,-0.13686,-0.006244,-10.7484,0.003979,-2401,-0.483742,0.0170837,-0.260174,-13155,47.8067,49.29
556555148,0.0173178,0.0260609,-0.00321867,0.004007,0,-0.240505,0.0878967,-9.52155,0.004007,-6408,-0.483742,0.0170837,-0.260174,-17162,47.8067,49.29
556559154,-0.0120385,-0.0138072,-3.73173e-05,0.004006,0,0.188356,0.17704,-9.51866,0.004006,-8,-0.491373,0.00829022,-0.274947,-360,48.6425,49.29
556563142,0.0102158,0.0239477,0.00457208,0.003988,0,-0.114373,0.140302,-9.71538,0.003988,-3996,-0.491373,0.00829022,-0.274947,-4348,48.6425,49.29
556567164,-0.00292771,-0.0449679,0.00644833,0.004022,0,0.117954,0.0305266,-9.57048,0.004022,-8018,-0.491373,0.00829022,-0.274947,-8370,48.6425,49.29
556571173,0.0108897,0.0399496,0.0243227,0.004009,0,-0.054178,-0.133066,-10.5441,0.004009,-2433,-0.522913,0.0125925,-0.265329,-1691,48.141,49.29
556575143,0.00438896,-0.0303533,-0.000334934,0.00397,0,0.124098,0.112904,-8.74217,0.00397,-6403,-0.522913,0.0125925,-0.265329,-5661,48.141,49.29
